City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kandrian,PG,75.61,overcast clouds,-6.2167,149.55,Kandrian Station
2,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
4,Ahipara,NZ,62.31,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
5,Bluff,NZ,58.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Rikitea,PF,74.52,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Punta Arenas,CL,66.22,broken clouds,-53.15,-70.9167,Hotel Hain
11,Hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Butaritari,KI,79.75,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
16,Faya,SA,60.91,few clouds,18.3851,42.4509,شيلة نسايم
17,Elat,IL,76.84,overcast clouds,29.5581,34.9482,Club Hotel Eilat
20,Pisco,PE,69.03,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
21,Cape Town,ZA,69.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Khash,IR,55.83,scattered clouds,28.2211,61.2158,Mahmud's House
24,Portland,US,53.69,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
25,Port Alfred,ZA,66.18,few clouds,-33.5906,26.891,The Halyards Hotel & Spa
28,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
29,Axim,GH,79.29,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
32,Ibarra,EC,69.82,light rain,0.35,-78.1167,La Estelita
34,Kaitangata,NZ,54.48,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
35,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Bredasdorp,ZA,62.82,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
38,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
40,Teknaf,BD,69.49,clear sky,20.8624,92.3058,Forestry Guesthouse
41,Dera Bugti,PK,63.55,clear sky,29.0307,69.151,Nawab Bugti House
44,Iranshahr,IR,70.14,clear sky,27.2025,60.6848,نیک سرشت
45,Kendal,GB,54.59,overcast clouds,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resorts
47,Ushuaia,AR,62.22,scattered clouds,-54.8,-68.3,Albatross Hotel
50,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
52,Chuy,UY,66.83,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
53,Castro,BR,73.24,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
54,Saint-Pierre,RE,71.91,broken clouds,-21.3393,55.4781,Alize Plage
56,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
61,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
64,Pamplona,ES,57.97,broken clouds,42.8169,-1.6432,Hotel Albret
65,Yulara,AU,63.28,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
66,Guerrero Negro,MX,68.97,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
67,Ewo,CG,76.82,light rain,-0.8725,14.8206,Residence Elonda Ewo
69,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Constitucion,CL,66.81,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
72,Charters Towers,AU,72.59,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
76,Miraflores,MX,77.97,few clouds,19.2167,-98.8083,Hotel Mansión
77,Te Anau,NZ,55.35,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
78,Dinghai,CN,65.32,overcast clouds,26.2847,119.7936,Shanhai Hotel
80,Mataura,NZ,58.48,clear sky,-46.1927,168.8643,Ellie's Villa
81,Kopervik,NO,53.91,mist,59.2835,5.3067,Parken Terrasse Apartment Hotel
83,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
86,Port Said,EG,71.58,few clouds,31.2565,32.2841,Aracan Hotel
87,Byron Bay,AU,62.71,clear sky,-28.65,153.6167,Backpackers Inn
88,Hermanus,ZA,64.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
89,Mayo,US,50.2,clear sky,38.8876,-76.5119,Resorts Resource Group International
91,Biak,ID,76.98,overcast clouds,-0.9131,122.8766,Penginapan Kim
92,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
95,Lebu,CL,61.27,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
96,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Villa Enata
99,Banda Aceh,ID,78.01,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
101,Alice Springs,AU,58.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
106,Viedma,AR,78.03,overcast clouds,-40.8135,-62.9967,Hotel Cristal
108,Pimentel,PE,73.69,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
111,Mar Del Plata,AR,60.87,drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
