City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,RU,65.5833,-171.0,17.71,79,100,4.25,overcast clouds
1,Kandrian,PG,-6.2167,149.55,75.61,89,89,4.03,overcast clouds
2,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,20.71,clear sky
3,Saskylakh,RU,71.9167,114.0833,-11.4,90,100,10.18,overcast clouds
4,Ahipara,NZ,-35.1667,173.1667,62.31,77,26,5.57,scattered clouds
5,Bluff,NZ,-46.6,168.3333,58.8,77,51,11.72,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,74.52,82,100,15.14,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,66.22,51,75,11.5,broken clouds
8,Aasiaat,GL,68.7098,-52.8699,16.27,99,99,2.62,overcast clouds
9,Jamestown,US,42.097,-79.2353,36.99,66,100,7.0,overcast clouds
10,Tiksi,RU,71.6872,128.8694,-10.95,93,100,15.75,overcast clouds
11,Hilo,US,19.7297,-155.09,77.25,75,75,5.75,broken clouds
12,Bethel,US,41.3712,-73.414,46.02,48,0,8.01,clear sky
13,Chelno-Vershiny,RU,54.4333,51.1,24.1,68,100,18.95,overcast clouds
14,Butaritari,KI,3.0707,172.7902,79.75,81,90,10.02,overcast clouds
15,Wisconsin Rapids,US,44.3836,-89.8174,32.29,63,100,8.05,overcast clouds
16,Faya,SA,18.3851,42.4509,60.91,69,20,2.24,few clouds
17,Elat,IL,29.5581,34.9482,76.84,53,88,4.61,overcast clouds
18,Ostrovnoy,RU,68.0531,39.5131,28.51,92,92,5.3,overcast clouds
19,Hobart,AU,-42.8794,147.3294,44.46,90,100,12.66,shower rain
20,Pisco,PE,-13.7,-76.2167,69.03,73,100,6.91,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,69.1,49,0,4.61,clear sky
22,Upernavik,GL,72.7868,-56.1549,21.97,91,100,19.44,light snow
23,Khash,IR,28.2211,61.2158,55.83,43,26,4.72,scattered clouds
24,Portland,US,45.5234,-122.6762,53.69,65,0,10.0,clear sky
25,Port Alfred,ZA,-33.5906,26.891,66.18,79,23,8.01,few clouds
26,Albany,US,42.6001,-73.9662,41.45,44,4,3.0,clear sky
27,Hamilton,US,39.1834,-84.5333,45.9,55,40,10.36,scattered clouds
28,Georgetown,MY,5.4112,100.3354,76.95,99,40,0.0,scattered clouds
29,Axim,GH,4.8699,-2.2405,79.29,82,100,6.67,overcast clouds
30,Sola,VU,-13.8833,167.55,80.71,70,0,1.5,clear sky
31,Leonidovo,RU,49.2833,142.8667,21.38,79,95,3.22,overcast clouds
32,Ibarra,EC,0.35,-78.1167,69.82,67,72,2.73,light rain
33,Hofn,IS,64.2539,-15.2082,44.62,93,100,10.36,overcast clouds
34,Kaitangata,NZ,-46.2817,169.8464,54.48,89,100,3.8,overcast clouds
35,Vaini,TO,-21.2,-175.2,75.36,88,75,5.75,broken clouds
